product,product-href,price,mobo-type,chipset
GIGABYTE GA-Z97M-DS3H LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 Micro ATX Intel Motherboard,https://www.newegg.com/p/N82E16813128727,179,intel,lga-1150
GIGABYTE GA-H97-HD3 LGA 1150 Intel H97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813128728,119,intel,lga-1150
GIGABYTE G1 Gaming G1.Sniper H6 LGA 1150 Intel H97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/gigabyte-g1-gaming-g1-sniper-h6/p/N82E16813128726,null,intel,lga-1150
GIGABYTE GA-B85M-D2V LGA 1150 Intel B85 SATA 6Gb/s USB 3.0 Micro ATX Intel Motherboard,https://www.newegg.com/p/N82E16813128673,89,intel,lga-1150
ASUS Z97-PRO GAMER LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813132412,361,intel,lga-1150
Gigabyte GA-B85-HD3 Desktop Motherboard - Intel B85 Express Chipset - Socket H3 LGA-1150,https://www.newegg.com/p/N82E16813128629,null,intel,lga-1150
GIGABYTE G1 Gaming GA-Z97X-Gaming 3 LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/gigabyte-g1-gaming-ga-z97x-gaming-3/p/N82E16813128711,null,intel,lga-1150
ASRock H81 PRO BTC R2.0 Mining Motherboard DHL Shipping ATX LGA 1150 6 GPU Mining Limited Supply USB 3.0,https://www.newegg.com/p/1JW-002U-00019,139,intel,lga-1150
GIGABYTE GA-H81M-S2PH LGA 1150 Intel H81 HDMI SATA 6Gb/s USB 3.0 Micro ATX Intel Motherboard,https://www.newegg.com/p/N82E16813128657,104,intel,lga-1150
Colorful H81M V24A Intel H81 LGA 1150 M-ATX Motherboard SATA 6Gb/s USB 3.0 Micro ATX  (Chinese Manual Only),https://www.newegg.com/colorful-v24a-h81m/p/1JW-002S-00006,84,intel,lga-1150
Colorful B85K V23A Intel B85 LGA 1150 M-ATX Gaming Motherboard SATA 6Gb/s USB 3.0 Micro ATX  VGA+HDMI (Chinese Manual Only),https://www.newegg.com/colorful-b85k-v23a/p/1JW-002S-00005,99,intel,lga-1150
ASRock Z97 Pro4 LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813157507,199,intel,lga-1150
ASUS MAXIMUS VII HERO-R LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard - Certified - Grade A,https://www.newegg.com/p/N82E16813132319,259,intel,lga-1150
ASUS B85-PLUS LGA 1150 Intel B85 SATA 6Gb/s USB 3.0 ATX Intel Motherboard with UEFI BIOS,https://www.newegg.com/p/N82E16813131996,165,intel,lga-1150
ASRock Z97E-ITX/ac LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 Mini ITX Intel Motherboard,https://www.newegg.com/p/N82E16813157504,549,intel,lga-1150
GIGABYTE GA-H81M-S2PV LGA 1150 Intel H81 SATA 6Gb/s USB 3.0 Micro ATX Intel Motherboard,https://www.newegg.com/p/N82E16813128649,129,intel,lga-1150
MSI H87-G43 LGA 1150 Intel H87 HDMI SATA 6Gb/s USB 3.0 ATX High Performance CF Intel Motherboard,https://www.newegg.com/p/N82E16813130697?&quicklink=true,284,intel,lga-1150
MSI B85I LGA 1150 Intel B85 HDMI SATA 6Gb/s USB 3.0 Mini ITX Intel Motherboard,https://www.newegg.com/p/N82E16813130740,169,intel,lga-1150
GIGABYTE GA-Z97M-D3H(Rev. 1.1)LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 Micro ATX Intel Motherboard,https://www.newegg.com/p/1JW-000J-001M6,149,intel,lga-1150
ASUS ROG MAXIMUS VI EXTREME LGA 1150 Intel Z87 HDMI SATA 6Gb/s USB 3.0 ATX Intel Gaming Motherboard,https://www.newegg.com/asus-rog-maximus-vi-extreme/p/N82E16813131974,629,intel,lga-1150
ASRock H81 PRO BTC R2.0 LGA 1150 Intel ATX Cryptocurrency Mining Motherboard,https://www.newegg.com/p/1JW-002U-00017,139,intel,lga-1150
MSI MSI Gaming Z97 GAMING 5 LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/msi-gaming-z97-gaming-5/p/N82E16813144013,259,intel,lga-1150
